Iteration,Total SSR Count,Source,Genome Size,SSR Density
5,32,Neisseria Flavescens,2231882,0.014337675558116424
6,31,Neisseria Flavescens,2231882,0.013889623196925285
7,34,Neisseria Flavescens,2231882,0.0152337802804987
8,33,Neisseria Flavescens,2231882,0.014785727919307561
9,31,Neisseria Flavescens,2231882,0.013889623196925285
10,30,Neisseria Flavescens,2231882,0.013441570835734147
11,34,Neisseria Flavescens,2231882,0.0152337802804987
12,30,Neisseria Flavescens,2231882,0.013441570835734147
13,30,Neisseria Flavescens,2231882,0.013441570835734147
14,35,Neisseria Flavescens,2231882,0.015681832641689836
15,29,Neisseria Flavescens,2231882,0.012993518474543008
16,30,Neisseria Flavescens,2231882,0.013441570835734147
17,31,Neisseria Flavescens,2231882,0.013889623196925285
18,35,Neisseria Flavescens,2231882,0.015681832641689836
19,32,Neisseria Flavescens,2231882,0.014337675558116424
20,31,Neisseria Flavescens,2231882,0.013889623196925285
21,31,Neisseria Flavescens,2231882,0.013889623196925285
22,35,Neisseria Flavescens,2231882,0.015681832641689836
23,33,Neisseria Flavescens,2231882,0.014785727919307561
24,30,Neisseria Flavescens,2231882,0.013441570835734147
25,31,Neisseria Flavescens,2231882,0.013889623196925285
26,34,Neisseria Flavescens,2231882,0.0152337802804987
27,30,Neisseria Flavescens,2231882,0.013441570835734147
28,31,Neisseria Flavescens,2231882,0.013889623196925285
29,34,Neisseria Flavescens,2231882,0.0152337802804987
30,31,Neisseria Flavescens,2231882,0.013889623196925285
31,32,Neisseria Flavescens,2231882,0.014337675558116424
32,28,Neisseria Flavescens,2231882,0.012545466113351871
33,30,Neisseria Flavescens,2231882,0.013441570835734147
34,31,Neisseria Flavescens,2231882,0.013889623196925285
35,29,Neisseria Flavescens,2231882,0.012993518474543008
36,33,Neisseria Flavescens,2231882,0.014785727919307561
37,34,Neisseria Flavescens,2231882,0.0152337802804987
38,33,Neisseria Flavescens,2231882,0.014785727919307561
39,30,Neisseria Flavescens,2231882,0.013441570835734147
